id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/18/2017 - Vic Law,4,868,97,97,140,631,2.88069,21,18,86,24,39,147
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/23/2017 - Vic Law,4,428,35,35,76,317,2.76724,7,10,36,12,25,84
bc83f44d-fdf4-42a7-a23b-565de107bb9c,05/25/2017 - Vic Law,4,491,35,35,86,370,4.12316,13,14,72,8,21,93
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/20/2017 - Vic Law,4,951,87,87,177,687,7.33596,12,28,85,31,41,147
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/22/2017 - Vic Law,4,525,45,45,90,390,5.16533,8,6,34,17,30,61
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/26/2017 - Vic Law,4,706,57,57,152,497,6.31212,9,16,49,18,35,94
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/27/2017 - Vic Law,4,970,78,78,200,692,8.01981,7,26,88,26,58,154
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/29/2017 - Vic Law,4,816,47,47,154,615,6.68264,8,11,60,16,53,154
bc83f44d-fdf4-42a7-a23b-565de107bb9c,06/30/2017 - Vic Law,4,752,48,48,147,557,7.90259,2,11,47,14,33,91
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/06/2017 - Vic Law,4,857,66,66,156,635,6.85813,14,16,63,19,40,155
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/11/2017 - Vic Law,4,692,59,59,127,506,9.20886,10,13,57,20,31,129
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/17/2017 - Vic Law,4,1126,70,70,225,831,8.40925,17,21,83,18,59,175
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/18/2017 - Vic Law,4,931,75,75,205,651,6.2673,21,23,73,33,62,118
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/24/2017 - Vic Law,4,417,18,18,65,334,3.46525,2,4,29,10,21,66
bc83f44d-fdf4-42a7-a23b-565de107bb9c,07/25/2017 - Vic Law,4,665,56,56,160,449,4.53516,10,11,44,29,59,128
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/15/2017 - Vic Law,4,933,60,60,165,708,6.1178,5,11,78,22,54,154
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/19/2017 - Vic Law,4,539,53,53,106,380,6.99361,5,11,46,18,25,77
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/20/2017 - Vic Law,4,847,80,80,175,592,7.7375,13,14,71,24,65,111
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/27/2017 - Vic Law,4,910,65,65,160,685,6.56424,13,19,88,18,48,144
bc83f44d-fdf4-42a7-a23b-565de107bb9c,09/29/2017 - Vic Law,4,1251,112,112,233,906,7.95694,16,28,77,30,51,166
